# TexasWater.txt
#
# Data from www.stat.psu.edu/~jglenn/stat505/18_cluster/18_cluster_hwk.html
#
# Ground water samples were collected from n = 127 sites in Texas.
#   The following variables were measured:
#
# site: a site identifier
# coord1: a site coordinate
# coord2: a site coordinate
# uranium:
# arsenic:
# boron:
# barium:
# moybdenum:
# selenium:
# vanadium:
# sulfate: SO4
# ttl.alk:
# bicarbonate:
# conductivity:
# pH:
#
site	coord1	coord2	uranium	arsenic	boron	barium	molybdenum	selenium	vanadium	sulfate	ttl.alk	bicarb	cond	pH
2413	33.477	101.195	13.63	1	2490	560	32	0.2	16	165	410	240	1200	8.2
2415	33.324	101.112	16.35	0.9	830	160	16	0.2	4	1040	325	202	2200	8.2
2417	33.256	101.039	19.85	0.5	5000	4	100	0.3	4	2325	76	47	9000	8.1
2421	33.256	101.075	19.41	1.5	498	16	16	1	32	470	286	165	6400	7.7
2425	33.315	101.022	6.63	0.7	996	4	17	0.2	100	1775	92	54	3300	8.2
2432	33.578	101.047	2.32	0.6	2000	40	40	0.2	4	125	324	189	1000	8.7
2433	33.612	101.1	1.94	0.5	1660	4	33	0.2	4	260	268	155	4800	7.9
2434	33.636	101.1	6	2.4	300	150	20	0.2	100	45	230	130	520	7.9
2437	33.637	101.115	1.52	4.4	68	510	4	0.2	20	40	260	143	420	7.8
2444	33.6	101.1	4.12	2.2	136	170	7	0.3	102	55	242	136	490	7.5
2447	33.59	100.829	33.98	0.7	1000	10	20	0.2	40	840	260	141	2700	7.3
2449	33.571	100.878	17.64	1.3	300	20	10	10.3	10	495	352	168	2300	7
2450	33.564	101.009	18.63	2.9	300	100	20	0.7	30	60	264	157	780	7.6
2451	33.596	100.995	8.02	0.5	204	68	7	0.5	14	65	260	154	700	7.9
2453	33.604	101.033	7.91	0.5	1000	200	60	0.8	10	50	278	147	580	8.8
2459	33.532	100.939	56.86	1.4	1000	60	60	0.2	60	465	400	220	2200	7.7
2470	33.393	100.786	53.74	0.7	250	4	4	0.2	25	2425	406	196	3900	7
2473	33.267	100.753	8.25	3.6	500	10	4	0.2	60	1950	142	73	2500	7.1
2479	33.519	100.774	33.46	0.5	562	6	4	0.2	21	1845	278	138	3100	7.2
2480	33.475	100.715	38.2	0.9	1860	4	12	0.2	50	3210	240	133	5600	7.2
