# YPerchCB1.txt
#
# data reconstructed from Table 2 in Bronte, C.R., J.H. Selgeby, and D.V. Swedberg.  1993.  Dynamics of a Yellow
#  perch population in western Lake Superior.  North American Journal of Fisheries Management, 13:511-523.
#
# age: age (years)
# sex: sex -- M=male, F=female
# mat: maturity -- Y=yes, N=no
#
age	sex	mat
4	M	Y
4	M	Y
5	M	N
5	M	N
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
5	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
6	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
7	M	Y
8	M	Y
8	M	Y
8	M	Y
8	M	Y
8	M	Y
8	M	Y
8	M	Y
9	M	Y
9	M	Y
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
1	F	N
