# TreesRemoteSense1.txt
#
# data extracted from Figure 5 of Sexton, J.O., T. Bax, P. Siqueira, J.J. Swenson
#   S. Hensley.   2009.  A comparison of lidar, radar, and field measurements of canopy
#   height in pine and hardwood forests of southeastern North America.  Forest Ecology
#   and Management 257:1136-1147.
#
# field.h: measured height (m) of the canopy in the field
# remote.h: remotely sensed height (m) of the canopy in the field
# method: Method of remote sensing used for that plot
# type: type of trees (pine or hardwood) in that plot
#
field.h remote.h method  type
0 2.9 Lidar Pine
0 4.2 Lidar Pine
10 11 Lidar Pine
12 22.4 Lidar Pine
14 20.6 Lidar Pine
15 18.1 Lidar Pine
15 17.2 Lidar Pine
16 12.5 Lidar Pine
19 14.9 Lidar Pine
20 23.4 Lidar Pine
20 25.4 Lidar Pine
21 23.8 Lidar Pine
23 31 Lidar Pine
24 30.6 Lidar Pine
24 29.2 Lidar Pine
25 27.4 Lidar Pine
27 29.8 Lidar Pine
30 32.6 Lidar Pine
30 31.2 Lidar Pine
30 30.5 Lidar Pine
27 26.4 Lidar Pine
28 24 Lidar Pine
31 27.4 Lidar Pine
31 25.4 Lidar Pine
26 18.5 Lidar Pine
32 24.5 Lidar Pine
0 5.1 GeoSAR Pine
0 5.8 GeoSAR Pine
0 6.6 GeoSAR Pine
10 8.3 GeoSAR Pine
12 13.5 GeoSAR Pine
14 15.9 GeoSAR Pine
15 14.5 GeoSAR Pine
15 13.4 GeoSAR Pine
16 5.2 GeoSAR Pine
19 9 GeoSAR Pine
20 15.7 GeoSAR Pine
20 16.6 GeoSAR Pine
21 18.6 GeoSAR Pine
23 18.6 GeoSAR Pine
24 16.3 GeoSAR Pine
24 16.1 GeoSAR Pine
25 15.8 GeoSAR Pine
26 13.5 GeoSAR Pine
27 14.7 GeoSAR Pine
27 18.3 GeoSAR Pine
28 19.4 GeoSAR Pine
31 14.9 GeoSAR Pine
32 16.7 GeoSAR Pine
31 17.3 GeoSAR Pine
30 18.3 GeoSAR Pine
30 21.7 GeoSAR Pine
30 24.5 GeoSAR Pine
34 27.7 GeoSAR Pine
0 -0.4 SRTM Pine
10 2 SRTM Pine
12 8.9 SRTM Pine
14 6 SRTM Pine
15 5.3 SRTM Pine
15 9.4 SRTM Pine
16 2.5 SRTM Pine
19 2.9 SRTM Pine
20 10 SRTM Pine
21 10 SRTM Pine
21 7 SRTM Pine
23 18.3 SRTM Pine
24 14.1 SRTM Pine
24 9 SRTM Pine
25 8.6 SRTM Pine
26 6.1 SRTM Pine
27 11.7 SRTM Pine
28 12.8 SRTM Pine
30 19.9 SRTM Pine
30 18.2 SRTM Pine
30 9.8 SRTM Pine
31 1.4 SRTM Pine
31 13.7 SRTM Pine
32 12 SRTM Pine
34 16.4 SRTM Pine
0 5 GeoSAR Hardwood
0 5.8 GeoSAR Hardwood
0 6.4 GeoSAR Hardwood
3 7.6 GeoSAR Hardwood
14 3.4 GeoSAR Hardwood
16 8.1 GeoSAR Hardwood
16 18 GeoSAR Hardwood
18 21.8 GeoSAR Hardwood
19 21.2 GeoSAR Hardwood
19 19.3 GeoSAR Hardwood
19 14.6 GeoSAR Hardwood
21 13.3 GeoSAR Hardwood
21 12.2 GeoSAR Hardwood
21 18.4 GeoSAR Hardwood
22 18.2 GeoSAR Hardwood
23 23.8 GeoSAR Hardwood
24 19.2 GeoSAR Hardwood
24 21.3 GeoSAR Hardwood
25 20.8 GeoSAR Hardwood
26 22.2 GeoSAR Hardwood
28 22.6 GeoSAR Hardwood
28 23.7 GeoSAR Hardwood
34 27.2 GeoSAR Hardwood
35 19.4 GeoSAR Hardwood
28 19.8 GeoSAR Hardwood
27 19.8 GeoSAR Hardwood
26 18.5 GeoSAR Hardwood
23 16.8 GeoSAR Hardwood
23 16.8 GeoSAR Hardwood
24 16.2 GeoSAR Hardwood
28 17.4 GeoSAR Hardwood
27 16 GeoSAR Hardwood
27 15.3 GeoSAR Hardwood
27 14.4 GeoSAR Hardwood
27 13.7 GeoSAR Hardwood
30 13.3 GeoSAR Hardwood
31 13.3 GeoSAR Hardwood
28 12 GeoSAR Hardwood
27 12.2 GeoSAR Hardwood
26 13.8 GeoSAR Hardwood
25 13.8 GeoSAR Hardwood
25 12 GeoSAR Hardwood
24 10.2 GeoSAR Hardwood
23 9.7 GeoSAR Hardwood
22 4.1 GeoSAR Hardwood
23 4.1 GeoSAR Hardwood
0 -0.4 SRTM Hardwood
3 4.1 SRTM Hardwood
14 2.2 SRTM Hardwood
16 7 SRTM Hardwood
16 7.6 SRTM Hardwood
18 8.1 SRTM Hardwood
19 9.4 SRTM Hardwood
19 9.8 SRTM Hardwood
19 3.4 SRTM Hardwood
21 5.2 SRTM Hardwood
21 6 SRTM Hardwood
21 7.6 SRTM Hardwood
21 7.8 SRTM Hardwood
22 5.6 SRTM Hardwood
23 3.3 SRTM Hardwood
24 1.8 SRTM Hardwood
24 5.4 SRTM Hardwood
24 1.4 SRTM Hardwood
27 -1.1 SRTM Hardwood
25 6.6 SRTM Hardwood
25 6.5 SRTM Hardwood
26 6.2 SRTM Hardwood
26 6.8 SRTM Hardwood
27 4.8 SRTM Hardwood
27 5.6 SRTM Hardwood
28 4.5 SRTM Hardwood
31 4.4 SRTM Hardwood
28 7 SRTM Hardwood
28 6.9 SRTM Hardwood
27 7.2 SRTM Hardwood
27 7.7 SRTM Hardwood
35 8.5 SRTM Hardwood
33 8.6 SRTM Hardwood
30 8.6 SRTM Hardwood
27 9.3 SRTM Hardwood
28 10.2 SRTM Hardwood
24 9.6 SRTM Hardwood
24 10.9 SRTM Hardwood
24 12.2 SRTM Hardwood
23 12.8 SRTM Hardwood
23 13 SRTM Hardwood
24 13.8 SRTM Hardwood
24 16.5 SRTM Hardwood
25 13 SRTM Hardwood
26 12.2 SRTM Hardwood
27 13.3 SRTM Hardwood
