# SandDuneLizard.txt
#
# Extracted from figure 1 in Attum, O. A. and P. K. Eason.  2006.  Effect of vegatation
#   loss on the sand dune lizard.  Journal of Wildlife Management 70:27-30.
#
# sv.length: snout-vent length (cm)
# weight: weight of lizard (g)
# group: whether the lizard was from a protected or unprotected site.
#
sv.length	weight	group
2.3	0.3	unprotected
2.4	0.3	unprotected
2.6	0.4	unprotected
2.6	0.53	unprotected
2.7	0.43	unprotected
2.8	0.57	unprotected
3	0.6	unprotected
3	0.71	unprotected
3.2	0.75	unprotected
3.2	0.91	unprotected
3.5	1	unprotected
3.8	1.07	unprotected
3.6	1.2	unprotected
3.8	1.2	unprotected
3.7	1.35	unprotected
3.7	1.47	unprotected
3.8	1.58	unprotected
3.8	1.65	unprotected
3.8	1.7	unprotected
3.8	1.8	unprotected
3.9	1.53	unprotected
4	1.5	unprotected
4.1	1.75	unprotected
4.2	2.1	unprotected
4.5	2.18	unprotected
2.5	0.35	protected
2.5	0.44	protected
2.6	0.38	protected
2.6	0.43	protected
2.7	0.51	protected
2.8	0.62	protected
2.9	0.58	protected
2.9	0.65	protected
2.9	0.72	protected
2.9	0.72	protected
3	0.75	protected
3	0.69	protected
3.1	0.7	protected
3.1	0.77	protected
3.1	0.81	protected
3.1	0.87	protected
3.2	0.88	protected
3.2	0.84	protected
3.2	0.79	protected
3.2	1.03	protected
3.3	0.99	protected
3.3	0.91	protected
3.4	0.95	protected
3.4	1.01	protected
3.4	1.08	protected
3.3	1.17	protected
3.5	1.01	protected
3.6	1.01	protected
3.6	1.17	protected
3.5	1.32	protected
3.6	1.31	protected
3.6	1.36	protected
3.7	1.21	protected
3.7	1.42	protected
3.7	1.48	protected
3.7	1.57	protected
3.8	1.67	protected
3.8	1.55	protected
3.8	1.51	protected
3.8	1.47	protected
3.8	1.42	protected
3.8	1.37	protected
3.8	1.3	protected
3.9	1.37	protected
4	1.33	protected
3.9	1.49	protected
3.9	1.61	protected
3.9	1.69	protected
4	1.53	protected
4.1	1.64	protected
4	1.69	protected
4	1.74	protected
4	1.81	protected
4	1.98	protected
4	2.03	protected
4.1	1.93	protected
4.1	1.79	protected
4.1	1.83	protected
4.2	1.74	protected
4.6	1.7	protected
4.2	1.95	protected
4.2	2.03	protected
4.2	2.17	protected
4.3	2.17	protected
4.3	2.04	protected
