"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Picea abies (L.) Karst.","Natural",63,21.4,15.6,107.9,15.02,12.7,135.6,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",63,21.8,16.6,114.7,10.96,9,134.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",63,24.5,20.6,175,21.16,18.1,214.3,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",63,24.8,15.8,148.4,16.53,18.7,183.6,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",63,29,16.8,181.2,31.9,28,241.1,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",66,24.8,27,273.9,6.93,4.7,285.5,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",66,27,27.6,285.3,8.88,6.2,300.4,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",66,28.4,27.6,343.1,11.75,9,363.9,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",66,34.1,29.2,385.7,15.7,12.3,413.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",72,12.2,15.2,51.9,5.51,2.7,60.1,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",72,19,20.6,127.8,8.95,6.9,143.6,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",72,28.4,25.4,320.2,27.19,21.5,368.9,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",72,32.7,28.4,471.1,30.09,26,527.2,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",72,39.8,27.2,610.7,62.72,46.4,719.8,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",77,29.4,32.2,454,24.31,15.5,493.8,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",77,34.4,32.6,622.3,37.5,16.4,676.2,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",77,39.8,35,904.7,66.7,34.8,1006.2,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",77,44.4,35.2,1031.6,77.94,39.1,1148.6,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",100,24.3,27.8,277.8,14.29,8.9,301,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",100,34,31,548.9,27.44,16.4,592.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",100,44.7,32.6,1029.1,87.89,50.7,1167.7,"SWZ","50-100"
"Picea abies (L.) Karst.","Natural",102,23.8,22.4,255.8,16.81,12.4,285,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",102,26.6,24.8,305.5,27.44,13.6,346.5,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",102,36.5,27.6,660,65.54,24,749.5,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",102,41.6,28,798.1,80.97,33.8,912.9,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",102,53.9,38,1722.2,180.2,61.8,1964.2,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",102,59.5,40,1965.5,255.3,79.1,2300,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",147,55.8,40.4,1893.8,137.7,47.5,2079,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",152,67.6,42.8,2872.4,359.9,131.9,3364.2,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",157,27.4,29.4,451.2,27.7,13.6,492.5,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",157,37.9,33.4,831.2,67.6,25.2,924,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",157,48.9,36.4,1550.2,105,39.4,1694.6,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",157,56.7,36,1578.1,155.7,47.1,1780.9,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",116,12.2,7.6,17.16,8.02,5.7,30.9,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",200,23.4,18.7,167.3,23.56,15.1,206,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",250,34.8,23,434.3,76.6,48.9,559.8,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",162,51.4,27.4,907.1,203.5,100,1210.6,"SWZ",">100"
"Picea abies (L.) Karst.","Natural",76,31.5,28.8,526.4,76.42,32.4,635.2,"GER","50-100"
"Picea abies (L.) Karst.","Natural",76,33.6,28.4,502.6,53.45,25.7,581.8,"GER","50-100"
"Picea abies (L.) Karst.","Natural",76,39.2,30.6,553,51.26,38.7,643,"GER","50-100"
