breed,days
Lab,16
Lab,158
Lab,12
Lab,38
Lab,4
Lab,25
Lab,43
Husky,40
Husky,12
Husky,122
Husky,67
Lab,71
Lab,37
Husky,272
Lab,21
Husky,10
Husky,95
Lab,15
Lab,10
Lab,23
Husky,368
Lab,39
Lab,10
Husky,136
Lab,8
Lab,25
Lab,3
Lab,5
Lab,15
Husky,30
Lab,9
Husky,128
Lab,14
Lab,9
Lab,21
Lab,44
Husky,51
Husky,212
Husky,137
Husky,68
Husky,200
Husky,87
Lab,70
Husky,50
Husky,35
Husky,10
Husky,7
Husky,43
Husky,122
Lab,5
