river,year,month,cfs
Brule,1981,June,219
Brule,1985,June,226
Brule,1986,June,205
Brule,1987,June,145
Brule,1988,June,124
Brule,1943,July,128
Brule,1944,July,172
Brule,1945,July,192
Brule,1946,July,145
Brule,1947,July,123
Brule,1948,July,119
Brule,1949,July,166
Brule,1950,July,137
Brule,1951,July,258
Brule,1952,July,345
Brule,1953,July,345
Brule,1954,July,182
Brule,1955,July,177
Brule,1956,July,128
Brule,1957,July,189
Brule,1958,July,266
Brule,1959,July,143
Brule,1960,July,129
Brule,1961,July,127
Brule,1962,July,136
Brule,1963,July,115
Brule,1964,July,108
Brule,1965,July,148
Brule,1966,July,137
Brule,1967,July,162
Brule,1968,July,195
Brule,1969,July,126
Brule,1970,July,131
Brule,1971,July,136
Brule,1972,July,238
Brule,1973,July,137
Brule,1974,July,152
Brule,1975,July,176
Brule,1976,July,123
Brule,1977,July,135
Brule,1978,July,174
Brule,1979,July,219
Brule,1980,July,130
Brule,1981,July,159
Brule,1985,July,182
Brule,1986,July,187
Brule,1987,July,134
Brule,1988,July,109
Brule,1943,August,130
Brule,1944,August,137
Brule,1945,August,157
Brule,1946,August,124
Brule,1947,August,116
Brule,1948,August,114
Brule,1949,August,131
Brule,1950,August,116
Brule,1951,August,155
Brule,1952,August,218
Brule,1953,August,235
Brule,1954,August,158
Brule,1955,August,200
Brule,1956,August,144
Brule,1957,August,128
Brule,1958,August,151
Brule,1959,August,131
Brule,1960,August,137
Brule,1961,August,121
Brule,1962,August,131
Brule,1963,August,115
Brule,1964,August,117
Brule,1965,August,149
Brule,1966,August,161
Brule,1967,August,130
Brule,1968,August,136
Brule,1969,August,130
Brule,1970,August,128
Brule,1971,August,145
Brule,1972,August,245
Brule,1973,August,202
Brule,1974,August,161
Brule,1975,August,124
Brule,1976,August,121
Brule,1977,August,141
Brule,1978,August,206
Brule,1979,August,148
Brule,1980,August,124
Brule,1981,August,159
Brule,1985,August,161
Brule,1986,August,252
Brule,1987,August,122
Brule,1988,August,130
Brule,1943,September,113
Brule,1944,September,146
Brule,1945,September,169
Brule,1946,September,127
Brule,1947,September,118
Brule,1948,September,108
Brule,1949,September,108
Brule,1950,September,112
Brule,1951,September,297
Brule,1952,September,157
Brule,1953,September,146
Brule,1954,September,181
Brule,1955,September,149
Brule,1956,September,133
Brule,1957,September,140
Brule,1958,September,210
Brule,1959,September,153
Brule,1960,September,144
Brule,1961,September,129
Brule,1962,September,158
Brule,1963,September,117
Brule,1964,September,198
Brule,1965,September,161
Brule,1966,September,135
Brule,1967,September,130
Brule,1968,September,153
Brule,1969,September,136
Brule,1970,September,122
Brule,1971,September,149
Brule,1972,September,183
Brule,1973,September,159
Brule,1974,September,136
Brule,1975,September,130
Brule,1976,September,121
Brule,1977,September,264
Brule,1978,September,181
Brule,1979,September,154
Brule,1980,September,160
Brule,1981,September,126
