"Species","Origin","Age","DBH","Ht","Pst","Pbr","Pf","Pabo","Country","GAge"
"Populus tremula L.","Natural",67,26,NA,305,37.5,5.8,348.3,"RUS",">50"
"Populus tremula L.","Natural",67,28,NA,336,42,6.5,384.5,"RUS",">50"
"Populus tremula L.","Natural",67,30,NA,368,46,7.1,421.1,"RUS",">50"
"Populus tremula L.","Natural",67,32,NA,401,50.5,7.7,459.2,"RUS",">50"
"Populus tremula L.","Natural",67,34,NA,433,55,8.4,496.4,"RUS",">50"
"Populus tremula L.","Natural",67,36,NA,466,59.5,9,534.5,"RUS",">50"
"Populus tremula L.","Natural",67,38,NA,500,64,9.7,573.7,"RUS",">50"
"Populus tremula L.","Natural",6,2.5,3.7,0.513,0.137,0.085,0.735,"RUS","<40"
"Populus tremula L.","Natural",14,7.6,10.1,8.96,1.635,0.318,10.91,"RUS","<40"
"Populus tremula L.","Natural",13,5.2,7.9,3.4,0.424,0.15,3.98,"RUS","<40"
"Populus tremula L.","Natural",13,3.5,6.8,1.45,0.143,0.085,1.68,"RUS","<40"
"Populus tremula L.","Natural",20,11,13.9,29.87,3.99,0.867,34.73,"RUS","<40"
"Populus tremula L.","Natural",19,7.6,11,11.59,1.29,0.33,13.21,"RUS","<40"
"Populus tremula L.","Natural",19,5.2,9.6,4.08,0.284,0.21,4.57,"RUS","<40"
"Populus tremula L.","Natural",16,1,NA,0.15,0.02,0.02,0.19,"RUS","<40"
"Populus tremula L.","Natural",16,2,NA,0.38,0.07,0.06,0.51,"RUS","<40"
"Populus tremula L.","Natural",16,3,NA,1.03,0.21,0.18,1.42,"RUS","<40"
"Populus tremula L.","Natural",16,4,NA,2.19,0.41,0.32,2.92,"RUS","<40"
"Populus tremula L.","Natural",16,5,NA,3.13,0.54,0.41,4.08,"RUS","<40"
"Populus tremula L.","Natural",16,6,NA,4.77,1.49,0.84,7.1,"RUS","<40"
"Populus tremula L.","Natural",16,7,NA,6.45,1.72,0.92,9.09,"RUS","<40"
"Populus tremula L.","Natural",16,8,NA,7.63,2.83,1.4,11.86,"RUS","<40"
