length
4.4
1.3
1
2.2
2.5
2.9
4.2
3.6
4.7
2.9
2
2.3
3.9
3.8
3.3
4.1
5.1
4
4.7
4.1
4
3.3
2.3
2.2
1.8
3.1
3.6
0.8
3.1
3.5
1.9
1.9
2.4
3.9
3.7
4.2
