Species,suborder,infraorder,Family,SVL,Weight,limbs,Sex,mass_measure
Kentropyx striata,Sauria,Laterata,Teiidae,91.65,20.0,legged,unsexed,mean
Kentropyx vanzoi,Sauria,Laterata,Teiidae,53.10,3.9,legged,unsexed,mean
Teius teyou,Sauria,Laterata,Teiidae,117.55,46.8,legged,unsexed,mean
Tupinambis longilineus,Sauria,Laterata,Teiidae,196.00,251.6,legged,unsexed,mean
Tupinambis merianae,Sauria,Laterata,Teiidae,313.97,1118.0,legged,unsexed,mean
Tupinambis rufescens,Sauria,Laterata,Teiidae,500.00,4700.0,legged,male,heaviest
Tupinambis teguixin,Sauria,Laterata,Teiidae,362.15,2212.0,legged,male,mean
Diplometopon zarudnyi,Amphisbaenia,amphisbaenia_(Laterata),Trogonophiidae,165.35,7.0,Limbless,unsexed,mean
Trogonophis wiegmanni,Amphisbaenia,amphisbaenia_(Laterata),Trogonophiidae,142.00,5.7,Limbless,male,mean
Leiocephalus carinatus,Sauria,Iguania,Tropiduridae,130.00,30.0,legged,unsexed,heaviest
Liolaemus bellii,Sauria,Iguania,Tropiduridae,64.15,11.3,legged,unsexed,mean
Liolaemus chiliensis,Sauria,Iguania,Tropiduridae,80.75,13.0,legged,unsexed,mean
Liolaemus fabiani,Sauria,Iguania,Tropiduridae,70.29,9.0,legged,male,mean
Liolaemus fuscus,Sauria,Iguania,Tropiduridae,47.30,2.5,legged,unsexed,mean
Liolaemus gravenhorstii,Sauria,Iguania,Tropiduridae,47.00,4.2,legged,unsexed,heaviest
Liolaemus kuhlmanni,Sauria,Iguania,Tropiduridae,73.13,12.6,legged,male,mean
Liolaemus lemniscatus,Sauria,Iguania,Tropiduridae,47.20,2.5,legged,unsexed,mean
Liolaemus monticola,Sauria,Iguania,Tropiduridae,61.85,5.5,legged,unsexed,mean
Liolaemus nigroviridis,Sauria,Iguania,Tropiduridae,67.05,11.1,legged,unsexed,mean
Liolaemus nitidus,Sauria,Iguania,Tropiduridae,88.85,17.8,legged,unsexed,mean
Liolaemus tenuis,Sauria,Iguania,Tropiduridae,53.75,4.5,legged,unsexed,mean
Microlophus albemarlensis,Sauria,Iguania,Tropiduridae,125.00,43.7,legged,male,heaviest
Microlophus occipitalis,Sauria,Iguania,Tropiduridae,63.70,9.4,legged,male,mean
Phymaturus punae,Sauria,Iguania,Tropiduridae,97.28,34.4,legged,male,mean
Phymaturus tenebrosus,Sauria,Iguania,Tropiduridae,98.28,31.4,legged,female,mean
Phymaturus zapalensis,Sauria,Iguania,Tropiduridae,82.36,24.8,legged,male,mean
Plica plica,Sauria,Iguania,Tropiduridae,109.15,79.4,legged,male,mean
Plica umbra,Sauria,Iguania,Tropiduridae,85.00,20.2,legged,female,mean
Stenocercus caducus,Sauria,Iguania,Tropiduridae,77.04,14.3,legged,female,mean
Stenocercus roseiventris,Sauria,Iguania,Tropiduridae,85.00,21.6,legged,unsexed,mean
Strobilurus torquatus,Sauria,Iguania,Tropiduridae,101.00,39.0,legged,male,heaviest
Tropidurus etheridgei,Sauria,Iguania,Tropiduridae,68.94,22.5,legged,unsexed,mean
Tropidurus hispidus,Sauria,Iguania,Tropiduridae,96.80,30.6,legged,male,mean
Tropidurus itambere,Sauria,Iguania,Tropiduridae,68.92,9.3,legged,male,mean
Tropidurus montanus,Sauria,Iguania,Tropiduridae,64.23,10.5,legged,unsexed,mean
Tropidurus oreadicus,Sauria,Iguania,Tropiduridae,90.44,15.8,legged,male,mean
Tropidurus psammonastes,Sauria,Iguania,Tropiduridae,94.90,15.0,legged,unsexed,mean
Tropidurus semitaeniatus,Sauria,Iguania,Tropiduridae,82.50,16.5,legged,male,mean
Tropidurus spinulosus,Sauria,Iguania,Tropiduridae,86.38,15.4,legged,unsexed,mean
Uracentron flaviceps,Sauria,Iguania,Tropiduridae,107.30,38.8,legged,male,mean
Uranoscodon superciliosus,Sauria,Iguania,Tropiduridae,108.93,49.9,legged,unsexed,mean
Varanus acanthurus,Sauria,Anguimorpha,Varanidae,193.75,132.7,legged,unsexed,mean
Varanus albigularis,Sauria,Anguimorpha,Varanidae,563.00,8000.0,legged,male,heaviest
Varanus baritji,Sauria,Anguimorpha,Varanidae,252.00,180.0,legged,unsexed,heaviest
Varanus bengalensis,Sauria,Anguimorpha,Varanidae,610.00,4940.0,legged,male,mean
Varanus brevicauda,Sauria,Anguimorpha,Varanidae,98.10,14.9,legged,unsexed,mean
Varanus caudolineatus,Sauria,Anguimorpha,Varanidae,103.40,14.3,legged,unsexed,mean
Varanus cumingi,Sauria,Anguimorpha,Varanidae,422.00,1383.0,legged,unsexed,mean
Varanus dumerilii,Sauria,Anguimorpha,Varanidae,346.00,988.0,legged,unsexed,mean
Varanus eremius,Sauria,Anguimorpha,Varanidae,138.50,40.1,legged,unsexed,mean
Varanus exanthematicus,Sauria,Anguimorpha,Varanidae,344.75,709.0,legged,unsexed,mean
Varanus flavescens,Sauria,Anguimorpha,Varanidae,315.05,768.5,legged,unsexed,mean
Varanus giganteus,Sauria,Anguimorpha,Varanidae,584.10,5333.4,legged,unsexed,mean
Varanus gilleni,Sauria,Anguimorpha,Varanidae,127.65,65.0,legged,male,mean
Varanus glauerti,Sauria,Anguimorpha,Varanidae,179.15,95.0,legged,female,mean
Varanus glebopalma,Sauria,Anguimorpha,Varanidae,276.50,400.0,legged,unsexed,mean
Varanus gouldii,Sauria,Anguimorpha,Varanidae,385.15,821.1,legged,unsexed,mean
Varanus griseus,Sauria,Anguimorpha,Varanidae,429.70,1221.5,legged,male,mean
Varanus indicus,Sauria,Anguimorpha,Varanidae,421.00,1287.0,legged,male,mean
Varanus jobiensis,Sauria,Anguimorpha,Varanidae,450.00,1300.0,legged,unsexed,heaviest
Varanus keithhornei,Sauria,Anguimorpha,Varanidae,250.00,230.0,legged,unsexed,mean
Varanus kingorum,Sauria,Anguimorpha,Varanidae,97.95,18.3,legged,unsexed,mean
Varanus komodoensis,Sauria,Anguimorpha,Varanidae,872.50,37140.0,legged,unsexed,mean
Varanus mabitang,Sauria,Anguimorpha,Varanidae,640.00,5750.0,legged,unsexed,heaviest
Varanus marmoratus,Sauria,Anguimorpha,Varanidae,479.00,2075.5,legged,male,mean
Varanus mertensi,Sauria,Anguimorpha,Varanidae,365.15,1121.2,legged,unsexed,mean
Varanus mitchelli,Sauria,Anguimorpha,Varanidae,211.65,151.3,legged,unsexed,mean
Varanus niloticus,Sauria,Anguimorpha,Varanidae,537.50,2890.0,legged,female,mean
Varanus nuchalis,Sauria,Anguimorpha,Varanidae,302.50,1120.0,legged,unsexed,mean
Varanus olivaceus,Sauria,Anguimorpha,Varanidae,654.30,5420.0,legged,male,mean
Varanus ornatus,Sauria,Anguimorpha,Varanidae,925.00,7500.0,legged,unsexed,heaviest
Varanus panoptes,Sauria,Anguimorpha,Varanidae,423.50,2317.0,legged,unsexed,mean
Varanus pilbarensis,Sauria,Anguimorpha,Varanidae,131.25,30.3,legged,unsexed,mean
Varanus prasinus,Sauria,Anguimorpha,Varanidae,310.00,237.5,legged,unsexed,heaviest
Varanus primordius,Sauria,Anguimorpha,Varanidae,120.00,32.8,legged,unsexed,heaviest
Varanus rosenbergi,Sauria,Anguimorpha,Varanidae,381.60,1109.0,legged,unsexed,mean
Varanus rudicollis,Sauria,Anguimorpha,Varanidae,336.00,345.0,legged,unsexed,mean
Varanus salvadorii,Sauria,Anguimorpha,Varanidae,745.00,13000.0,legged,unsexed,heaviest
Varanus salvator,Sauria,Anguimorpha,Varanidae,571.00,4345.0,legged,unsexed,mean
Varanus scalaris,Sauria,Anguimorpha,Varanidae,205.18,103.4,legged,male,mean
Varanus semiremex,Sauria,Anguimorpha,Varanidae,282.00,622.0,legged,unsexed,heaviest
Varanus spenceri,Sauria,Anguimorpha,Varanidae,500.00,6000.0,legged,male,heaviest
Varanus storri,Sauria,Anguimorpha,Varanidae,116.20,26.9,legged,unsexed,mean
Varanus timorensis,Sauria,Anguimorpha,Varanidae,285.00,290.0,legged,unsexed,heaviest
Varanus tristis,Sauria,Anguimorpha,Varanidae,231.10,174.2,legged,unsexed,mean
Varanus varius,Sauria,Anguimorpha,Varanidae,570.00,6343.0,legged,unsexed,mean
Lepidophyma flavimaculatum,Sauria,Scincimorpha,Xantusiidae,82.40,11.3,legged,unsexed,mean
Lepidophyma gaigeae,Sauria,Scincimorpha,Xantusiidae,66.00,5.0,legged,unsexed,heaviest
Lepidophyma smithii,Sauria,Scincimorpha,Xantusiidae,112.00,25.0,legged,unsexed,heaviest
Lepidophyma sylvaticum,Sauria,Scincimorpha,Xantusiidae,75.00,8.3,legged,male,mean
Xantusia henshawi,Sauria,Scincimorpha,Xantusiidae,61.67,3.2,legged,unsexed,mean
Xantusia riversiana,Sauria,Scincimorpha,Xantusiidae,83.18,17.3,legged,female,mean
Xantusia vigilis,Sauria,Scincimorpha,Xantusiidae,40.95,1.5,legged,unsexed,mean
Shinisaurus crocodilurus,Sauria,Anguimorpha,Xenosauridae,160.50,150.0,legged,unsexed,heaviest
Xenosaurus platyceps,Sauria,Anguimorpha,Xenosauridae,104.50,19.6,legged,unsexed,mean
Xenosaurus rectocollaris,Sauria,Anguimorpha,Xenosauridae,108.00,31.0,legged,unsexed,heaviest
