riblen
11.8843
12.7797
12.1933
13.8384
11.5809
13.0889
10.7319
12.0781
10.7204
11.9428
11.7983
10.524
12.173
13.7647
11.7373
11.3124
12.1283
12.1219
12.5919
11.5474
13.1594
12.3171
12.3902
11.7518
12.0339
11.6815
11.8447
12.0989
12.9757
13.6249
