AY,ID,Final,Grade
2016,150,0.536,D
2016,151,0.905,A-
2018,152,0.887,B+
2019,153,0.960,A
2016,154,0.405,F
2017,155,0.917,A
2016,156,0.557,D
2017,157,0.919,A
2019,158,0.643,D
2017,159,0.784,C+
2019,160,0.752,C
2015,161,0.631,D
2015,162,0.877,B+
2018,163,0.870,B+
2017,164,0.554,D
2019,165,0.888,B+
2015,166,0.693,C
2019,167,0.664,D+
2018,168,0.859,B
2018,169,0.633,D
2018,170,0.597,D
2019,171,0.827,B
2017,172,0.800,B-
2017,173,0.881,B+
2017,174,0.367,F
2018,175,0.816,B
2018,176,0.710,C
2016,177,0.919,A
2019,178,0.616,D
2018,179,0.749,C
2017,180,0.894,A-
2016,181,0.651,D+
2017,182,0.976,A
2017,183,0.965,A
2019,184,0.888,B+
2015,185,0.683,D+
2017,186,0.632,D+
2018,187,0.888,A-
2017,188,0.308,F
2019,189,0.672,D+
2019,190,0.840,B
2015,191,0.784,C+
2019,192,0.781,C+
2019,193,0.861,B+
2015,194,0.869,B+
2019,195,0.822,B
2016,196,0.491,F
2019,197,0.603,D
2019,198,0.968,A
2017,199,0.647,D
2017,200,0.736,B-
2018,201,0.735,C
2016,202,0.838,B
2018,203,0.911,A-
2015,204,0.873,B+
2019,205,0.566,F
2015,206,0.858,B
2019,207,0.692,C
2019,208,0.954,A
2018,209,0.645,D
2016,210,0.684,D+
2017,211,0.347,F
2015,212,0.534,F
2015,213,0.834,B
2015,214,0.894,A-
2015,215,0.631,D
2015,216,0.908,A
2019,217,,F
2017,218,0.936,A
2015,219,0.866,B+
2016,220,0.826,B
2015,221,0.672,D+
2017,222,0.797,B-
2016,223,0.755,C
2018,224,0.861,B
2017,225,0.819,B
2016,226,0.923,A
2016,227,0.951,A
2015,228,0.513,F
2015,229,0.694,C
2015,230,0.866,B+
2018,231,0.831,B
2019,232,0.928,A
2017,233,0.663,D
2019,234,0.979,A
2016,235,0.696,C
2019,236,0.757,C
2018,237,0.837,B
2015,238,0.627,D
2018,239,0.956,A
2019,240,0.936,A
2015,241,0.940,A
2018,242,0.820,B
2019,243,0.786,C+
2016,244,0.748,C
2015,245,0.856,B
2016,246,0.930,A
2018,247,0.953,A
2017,248,0.836,B
2015,249,0.718,C
2017,250,0.835,B
2019,251,0.477,F
2016,252,0.750,C
2017,253,0.253,F
2016,254,0.776,C+
2017,255,0.609,D
2019,256,0.849,B
2018,257,0.896,A-
2018,258,0.689,C
2016,259,0.725,C
2019,260,0.864,B+
2017,261,0.870,B+
2018,262,0.760,C
2016,263,0.416,F
2017,264,0.717,C
2018,265,0.642,D
2019,266,0.891,A-
2017,267,0.779,C+
2019,268,0.978,A
2019,269,0.903,A-
2016,270,0.392,F
2016,271,0.976,A
2018,272,0.855,B
2018,273,0.670,C-
2017,274,0.528,F
2017,275,0.231,F
2015,276,0.782,C+
2017,277,0.915,A
2019,278,0.928,A
2016,279,0.590,D
2017,280,0.641,D
2017,281,0.613,D
2015,282,0.756,C
2018,283,0.802,B-
2019,284,0.814,B-
2015,285,0.903,A
2015,286,0.980,A
2019,287,0.600,D
2015,288,0.343,F
2016,289,0.653,D+
2016,290,0.576,D
2019,291,0.620,D
2017,292,0.336,F
2018,293,0.962,A
2017,294,0.575,D
2015,295,0.685,C-
2015,296,0.950,A
2019,297,0.702,C
2016,298,0.660,D+
2019,299,0.733,C
2019,300,0.672,D+
2018,301,0.808,B-
2018,302,0.960,A
2019,303,0.895,A-
2018,304,0.906,A-
2016,305,0.888,B+
2018,306,0.812,B
2016,307,0.556,D
2017,308,0.540,D
2018,309,0.893,A-
2018,310,0.745,C
2017,311,0.880,B+
2018,312,0.856,B
2018,313,0.349,F
2017,314,0.946,A
2019,315,0.910,A-
2018,316,0.930,A
2017,317,0.595,D
2019,318,0.413,F
2016,319,0.800,B-
2018,320,0.858,B
2018,321,0.772,C+
2019,322,0.796,B-
2016,323,0.276,F
2016,324,0.570,D
2015,325,0.594,D
2018,326,0.959,A
2019,327,0.837,B
2016,328,0.507,F
2019,329,0.784,B-
2019,330,0.893,A-
2015,331,0.638,D
2019,332,0.590,D
2017,333,0.919,A
2015,334,0.357,F
2016,335,0.721,C
2017,336,0.447,F
2019,337,0.826,B
2015,338,0.899,A-
2017,339,0.733,C+
2019,340,0.812,B
2017,341,0.739,C
2016,342,0.870,B+
2015,343,0.462,F
2019,344,0.685,C-
2018,345,0.806,B-
2018,346,0.853,B
2017,347,0.816,B
2017,348,0.914,A
2016,349,0.934,A
2018,350,0.869,B+
2019,351,0.755,C
2018,352,0.842,B
2018,353,0.920,A
2018,354,0.911,A
2017,355,0.900,A-
2018,356,0.849,B
2018,357,0.399,F
2017,358,0.889,A-
2015,359,0.691,C
2018,360,0.772,C+
2018,361,0.536,D
2017,362,0.870,B+
2016,363,0.351,F
2017,364,0.776,C+
2016,365,0.431,F
2018,366,0.919,A
2017,367,0.674,C-
2019,368,0.930,A
2017,369,0.696,C
2016,370,0.897,A-
2019,371,0.873,B+
2019,372,0.819,B
2016,373,0.589,D
2015,374,0.870,B+
2017,375,0.474,F
2015,376,0.886,B+
2015,377,0.558,D
2015,378,0.579,D
2017,379,0.966,A
2019,380,0.676,D+
2015,381,0.594,D
2017,382,0.506,F
2015,383,0.617,D
2019,384,0.773,C+
2019,385,0.806,B-
2019,386,0.834,B
2015,387,0.599,D
2016,388,0.847,B
2019,389,0.861,B+
2016,390,0.375,F
2016,391,0.890,A-
2018,392,0.681,C
2019,393,0.627,D
2015,394,0.840,B
2019,395,0.305,F
2018,396,0.780,C+
2019,397,0.702,C
2016,398,0.917,A
2018,399,0.904,A-
2019,400,0.693,C
2019,401,0.844,B
2016,402,0.516,F
2019,403,0.644,D
2019,404,0.619,D
2015,405,0.905,A-
2019,406,0.429,F
2018,407,0.702,C
2018,408,0.872,B+
2018,409,0.632,D
2018,410,0.385,F
2019,411,0.366,F
2018,412,0.880,B+
2015,413,0.454,F
2019,414,0.884,A-
2016,415,0.935,A
2017,416,0.556,D
2019,417,0.666,D+
2015,418,0.522,F
