lake,year,date,max.cover
Erie,1995,13-Feb,94
Erie,1996,5-Feb,100
Erie,1997,2-Feb,99.6
Erie,1998,23-Jan,5.4
Erie,1999,15-Jan,74.8
Erie,2000,1-Feb,90.7
Erie,2001,12-Feb,94
Erie,2002,3-Jan,14.4
Erie,2003,27-Jan,95.7
Erie,2004,2-Feb,95.4
Erie,2005,7-Feb,93
Erie,2006,2-Mar,21.88
Erie,2007,19-Feb,95.77
Erie,2008,10-Mar,93.38
Erie,2009,5-Feb,95.55
Erie,2010,8-Feb,93.13
Erie,2011,1-Feb,95.85
Erie,2012,21-Jan,13.87
Erie,2013,22-Feb,83.72
Erie,2014,6-Mar,96.08
Erie,2015,18-Feb,98.1
Erie,2016,15-Feb,78.73
Erie,2017,8-Feb,35.51
Erie,2018,9-Feb,95.12
Erie,2019,2-Mar,94.28
Ontario,1973,20-Feb,62.6
Ontario,1974,10-Jan,24.5
Ontario,1975,13-Feb,14.9
Ontario,1976,3-Feb,15.2
Ontario,1977,17-Feb,46.7
Ontario,1978,15-Feb,57.7
Ontario,1979,19-Feb,86.2
Ontario,1980,13-Feb,30.6
Ontario,1981,7-Jan,47.6
Ontario,1982,25-Jan,50.7
Ontario,1983,8-Feb,12.5
Ontario,1984,18-Jan,40.7
Ontario,1985,9-Feb,38.2
Ontario,1986,28-Feb,43.7
Ontario,1987,14-Feb,8.4
Ontario,1988,10-Jan,21.1
Ontario,1989,13-Mar,15.5
Ontario,1990,28-Feb,29.5
Ontario,1991,2-Feb,11.6
Ontario,1992,16-Feb,17.5
Ontario,1993,28-Feb,29
Ontario,1994,11-Feb,55.7
Ontario,1995,13-Feb,18.8
Ontario,1996,16-Feb,45.1
Ontario,1997,23-Feb,25.6
Ontario,1998,30-Jan,6.2
Ontario,1999,9-Mar,17.9
Ontario,2000,1-Feb,22.3
Ontario,2001,15-Feb,17.9
Ontario,2002,10-Jan,4
Ontario,2003,27-Feb,49.6
Ontario,2004,29-Jan,38.5
Ontario,2005,31-Jan,37.8
Ontario,2006,2-Mar,14.25
Ontario,2007,8-Mar,23.77
Ontario,2008,10-Mar,13.97
Ontario,2009,5-Feb,25.9
Ontario,2010,8-Feb,13.1
Ontario,2011,24-Feb,31.09
Ontario,2012,17-Feb,1.86
Ontario,2013,23-Feb,15.58
Ontario,2014,6-Mar,60.84
Ontario,2015,18-Feb,82.4
Ontario,2016,14-Feb,23.46
Ontario,2017,16-Mar,5.75
Ontario,2018,17-Jan,24.67
Ontario,2019,1-Mar,39.78
