index,use,day,tank,treat,date,trapped,num,sex,length,hardness
1T,Y,1,A,T,7/7/2001,TRUE,21,M,33,3
1T,Y,1,A,T,7/7/2001,TRUE,22,M,26,3
1T,Y,1,A,T,7/7/2001,TRUE,23,M,23,2
1T,Y,1,A,T,7/7/2001,TRUE,24,F,28,3
1T,Y,1,A,T,7/7/2001,TRUE,25,F,27,3
2C,Y,2,B,C,7/8/2001,FALSE,1,M,34,3
2C,Y,2,B,C,7/8/2001,FALSE,2,M,27,3
2C,Y,2,B,C,7/8/2001,FALSE,3,M,43,2
2C,Y,2,B,C,7/8/2001,FALSE,4,M,29,3
2C,Y,2,B,C,7/8/2001,FALSE,5,F,27,3
2C,Y,2,B,C,7/8/2001,FALSE,6,M,22,3
2C,Y,2,B,C,7/8/2001,FALSE,7,F,33,3
2C,Y,2,B,C,7/8/2001,FALSE,8,F,24,2
2C,Y,2,B,C,7/8/2001,FALSE,9,M,26,3
2C,Y,2,B,C,7/8/2001,FALSE,10,M,24,2
2C,Y,2,B,C,7/8/2001,FALSE,11,M,27,3
2C,Y,2,B,C,7/8/2001,FALSE,12,F,29,2
2C,Y,2,B,C,7/8/2001,FALSE,13,M,28,3
2C,Y,2,B,C,7/8/2001,FALSE,14,F,23,3
2C,Y,2,B,C,7/8/2001,FALSE,15,F,27,3
2C,Y,2,B,C,7/8/2001,FALSE,16,F,24,3
2C,Y,2,B,C,7/8/2001,FALSE,17,M,26,2
2C,Y,2,B,C,7/8/2001,FALSE,18,M,24,3
2C,Y,2,B,C,7/8/2001,FALSE,19,F,29,3
2C,Y,2,B,C,7/8/2001,FALSE,20,M,28,3
2C,Y,2,B,C,7/8/2001,FALSE,21,F,26,3
2C,Y,2,B,C,7/8/2001,FALSE,22,F,31,3
2C,Y,2,B,C,7/8/2001,FALSE,23,F,25,3
2C,Y,2,B,C,7/8/2001,FALSE,24,F,31,3
2C,Y,2,B,C,7/8/2001,TRUE,1,M,34,3
2C,Y,2,B,C,7/8/2001,TRUE,2,F,35,3
2C,Y,2,B,C,7/8/2001,TRUE,3,M,38,3
2C,Y,2,B,C,7/8/2001,TRUE,4,M,39,3
2C,Y,2,B,C,7/8/2001,TRUE,5,M,23,3
2T,Y,2,A,T,7/8/2001,FALSE,1,M,26,3
2T,Y,2,A,T,7/8/2001,FALSE,2,F,22,3
2T,Y,2,A,T,7/8/2001,FALSE,3,F,25,3
2T,Y,2,A,T,7/8/2001,FALSE,4,M,35,3
2T,Y,2,A,T,7/8/2001,FALSE,5,M,35,3
2T,Y,2,A,T,7/8/2001,FALSE,6,M,25,3
2T,Y,2,A,T,7/8/2001,FALSE,7,M,27,2
2T,Y,2,A,T,7/8/2001,FALSE,8,M,26,2
2T,Y,2,A,T,7/8/2001,FALSE,9,F,25,2
2T,Y,2,A,T,7/8/2001,FALSE,10,F,27,3
2T,Y,2,A,T,7/8/2001,FALSE,11,M,26,2
2T,Y,2,A,T,7/8/2001,FALSE,12,M,28,3
2T,Y,2,A,T,7/8/2001,FALSE,13,M,29,3
2T,Y,2,A,T,7/8/2001,FALSE,14,M,27,3
2T,Y,2,A,T,7/8/2001,FALSE,15,M,18,3
2T,Y,2,A,T,7/8/2001,TRUE,1,M,41,3
2T,Y,2,A,T,7/8/2001,TRUE,2,F,26,2
2T,Y,2,A,T,7/8/2001,TRUE,3,M,36,3
2T,Y,2,A,T,7/8/2001,TRUE,4,M,36,3
2T,Y,2,A,T,7/8/2001,TRUE,5,M,35,3
2T,Y,2,A,T,7/8/2001,TRUE,6,M,32,3
2T,Y,2,A,T,7/8/2001,TRUE,7,M,31,3
2T,Y,2,A,T,7/8/2001,TRUE,8,F,30,3
2T,Y,2,A,T,7/8/2001,TRUE,9,F,25,2
2T,Y,2,A,T,7/8/2001,TRUE,10,F,27,2
2T,Y,2,A,T,7/8/2001,TRUE,11,F,31,3
2T,Y,2,A,T,7/8/2001,TRUE,12,M,25,3
2T,Y,2,A,T,7/8/2001,TRUE,13,M,38,3
2T,Y,2,A,T,7/8/2001,TRUE,14,F,28,3
2T,Y,2,A,T,7/8/2001,TRUE,15,F,25,3
3C,Y,3,A,C,7/17/2001,FALSE,1,M,35,3
3C,Y,3,A,C,7/17/2001,FALSE,2,M,31,3
3C,Y,3,A,C,7/17/2001,FALSE,3,M,36,3
3C,Y,3,A,C,7/17/2001,FALSE,4,M,28,3
3C,Y,3,A,C,7/17/2001,FALSE,5,M,32,3
3C,Y,3,A,C,7/17/2001,FALSE,6,F,24,3
3C,Y,3,A,C,7/17/2001,FALSE,7,M,30,3
3C,Y,3,A,C,7/17/2001,FALSE,8,M,27,3
3C,Y,3,A,C,7/17/2001,FALSE,9,M,25,3
